Province_State,Confirmed,Deaths,Recovered,Active
Andalusia,1426084,13371,,
Aragon,412170,4673,,
Asturias,213558,2661,,
Baleares,278961,1289,,
C. Valenciana,1376376,9202,,
Canarias,344943,1694,,
Cantabria,132757,798,,
Castilla - La Mancha,495371,7185,,
Castilla y Leon,702380,8446,,
Catalonia,2386700,18924,,
Ceuta,20140,147,,
Extremadura,256963,2302,,
Galicia,603709,3290,,
La Rioja,94360,915,,
Madrid,1652454,18366,,
Melilla,20838,154,,
Murcia,401507,2226,,
Navarra,236140,1530,,
Pais Vasco,681482,6548,,
Unknown,0,0,,
